Tipo de fiscalizador,Ubicación,Conducta fiscalizada,Latitud,Longitud,COMUNA
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,12
Cinemómetro,Calle Holmberg 3015,Exceso de velocidad,-34.564416,-58.481138,12
Analítica de video,Av Caseros 3020 sobre la plaza.,"semáforo rojo, senda peatonal",-34.6372008,-58.405921,4
Analítica de video,Av. Int. Francisco Rabanal 1323,"semáforo rojo, senda peatonal",-34.6547635,-58.4172216,4
Analítica de video,AV. Saenz 1230,"semáforo rojo, senda peatonal",-34.6550245,-58.4161493,4
Analítica de video,AV. Montes de Oca 1685,"semáforo rojo, senda peatonal, Giro indebido",-34.6464535,-58.3733901,4
Analítica de video,LA PAMPA 4704,Invasión de ciclovia,-34.6372008,-58.405921,4
Analítica de video,Lima Este (Plaza) y juan de garay,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.6464535,-58.3733901,4
Analítica de video,Suarez 1635,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.6384136,-58.3737553,4
Cinemómetro,Au. Arturo Frondizi km 0.5,Exceso de velocidad,-34.647174,-58.374735,4
Cinemómetro,Au. Arturo Frondizi km 2.0,Exceso de velocidad,-34.634808,-58.37771,4
Cinemómetro,Av. Juan de Garay 2046,Exceso de velocidad,-34.627578,-58.39362,4
Cinemómetro,Au. Frondizi km 0.5,Exceso de velocidad,-34.647174,-58.374735,4
Cinemómetro,Au. Arturo Frondizi km 2.0,Exceso de velocidad,-34.634808,-58.37771,4
Cinemómetro,Av. Juan de Garay 2030,Exceso de velocidad,-34.627578,-58.39362,4
Cinemómetro,Av. Jujuy 1794,Exceso de velocidad,-34.631125,-58.400724,4
Cinemómetro,Av. Brasil 2085,Exceso de velocidad,-34.629948,-58.393885,4
Cinemómetro,Au. Arturo Frondizi km 1.3,Exceso de velocidad,-34.64009,-58.376556,4
Analítica de video,Av. Cabildo 1716,"semáforo rojo, senda peatonal",-34.5655339,-58.4538156,13
